"","Account Name","Opportunity Name","Product","Stage Name","Amount_USD","Close Date Year","Close Date Month","Close Date Day","Lead Source","Forecast Category","Account Owner","Region","Fiscal Year","Fiscal Quarter","Team Name"
"10","Caraco Pharmaceutical Laboratories Ltd.","Caraco Pharmaceutical Laboratories Ltd.","Accugel","5 - Closed Won","12996","2012","5","21","Business development","Closed","86316069-f7fb-4489-8bd5-5ea48c0ea25a","Northeast","2012","2012-07-01 00:00:00","US Sales Team"
"11","Uriel Pharmacy Inc.","Uriel Pharmacy Inc.","Accruex","5 - Closed Won","17800","2012","7","26","Not specified","Closed","db0508ce-1877-4f4d-8a57-c6541e49a3c3","Northwest","2012","2012-07-01 00:00:00","US Sales Team"
"12","Wyeth BioPharma","Wyeth BioPharma","Emoltra","5 - Closed Won","3410","2014","11","24","Business development","Closed","843141eb-6b81-4f45-bd4b-dfadf6721b8e","Southeast","2014","2014-10-01 00:00:00","US Sales Team"
"13","Lupin Pharmaceuticals Inc.","Lupin Pharmaceuticals Inc.","Accugel","5 - Closed Won","23310","2015","9","20","Web","Closed","843141eb-6b81-4f45-bd4b-dfadf6721b8e","Northeast","2015","2015-10-01 00:00:00","US Sales Team"
"14","Apotheca Company","Apotheca Company","Radantix","5 - Closed Won","4215","2011","1","24","Web","Closed","bec9ee79-11c9-4351-8416-01ad8b8ab4bf","Southwest","2011","2011-10-01 00:00:00","US Sales Team"
"15","The Mentholatum Company","The Mentholatum Company","Accruex","5 - Closed Won","1686","2012","4","2","Business development","Closed","4f01f14b-2b7f-45df-9ea7-04e905169969","Southwest","2012","2012-04-01 00:00:00","US Sales Team"
"16","Glenmark Generics Inc. USA","Glenmark Generics Inc. USA","Radantix","5 - Closed Won","6166","2015","5","22","Tradeshow","Closed","b3330862-932e-490e-9c53-9d2fc36d8823","Southeast","2015","2015-07-01 00:00:00","EU Sales Team"
"17","Safeway","Safeway","Zillia","5 - Closed Won","19097","2014","7","26","Not specified","Closed","d8d7c4f4-ed64-4f4e-bd6b-b4cdb04b7218","Northeast","2014","2014-04-01 00:00:00","EU Sales Team"
"18","Triax Pharmaceuticals LLC","Triax Pharmaceuticals LLC","Avenetro","5 - Closed Won","772","2012","5","13","Web","Closed","843141eb-6b81-4f45-bd4b-dfadf6721b8e","Southwest","2012","2012-10-01 00:00:00","US Sales Team"
"19","Walgreens Co.","Walgreens Co.","Emoltra","5 - Closed Won","5055","2015","3","11","Business development","Closed","37db7974-7903-40ff-ac8e-33fbcb871af0","Northeast","2015","2015-01-01 00:00:00","EU Sales Team"
"20","Jubilant HollisterStier LLC","Jubilant HollisterStier LLC","Accugel","5 - Closed Won","22172","2011","6","24","Business development","Closed","db0508ce-1877-4f4d-8a57-c6541e49a3c3","Southeast","2011","2011-10-01 00:00:00","EU Sales Team"
"21","Stephen L. LaFrance Pharmacy Inc.","Stephen L. LaFrance Pharmacy Inc.","3-DOM","5 - Closed Won","6289","2015","4","4","Web","Closed","4f01f14b-2b7f-45df-9ea7-04e905169969","Northeast","2015","2015-01-01 00:00:00","US Sales Team"
"22","Uriel Pharmacy Inc.","Uriel Pharmacy Inc.","Zillia","5 - Closed Won","24154","2013","11","14","Not specified","Closed","88ab35a3-0ee7-481f-8148-b2962ae39d3b","Southeast","2013","2013-10-01 00:00:00","EU Sales Team"
"23","American Health Packaging","American Health Packaging","Dentrex","5 - Closed Won","21243","2014","6","2","Tradeshow","Closed","2229217d-2ed3-4035-b2e7-a3bef64f73ec","Southwest","2014","2014-10-01 00:00:00","US Sales Team"
"24","Chromate Industrial Corporation","Chromate Industrial Corporation","Comfront","5 - Closed Won","13467","2011","10","1","Tradeshow","Closed","ac80e526-9e13-420e-85e4-f0d1aab61c9c","Southeast","2011","2011-07-01 00:00:00","EU Sales Team"
"25","The Mentholatum Company","The Mentholatum Company","Acclimite","5 - Closed Won","17315","2013","3","2","Business development","Closed","38a65e72-7a7f-454a-acbb-8658cecad9a9","Southeast","2013","2013-10-01 00:00:00","US Sales Team"
"26","Warner Chilcott (US) LLC","Warner Chilcott (US) LLC","3-DOM","5 - Closed Won","6564","2013","8","26","Not specified","Closed","161a008b-c441-47ee-8577-45585313ca1c","Northwest","2013","2013-01-01 00:00:00","EU Sales Team"
"27","American Health Packaging","American Health Packaging","Prevalax","5 - Closed Won","7804","2012","12","12","Tradeshow","Closed","38a65e72-7a7f-454a-acbb-8658cecad9a9","Southwest","2012","2012-10-01 00:00:00","EU Sales Team"
"28","Nelco Laboratories Inc.","Nelco Laboratories Inc.","Comfront","5 - Closed Won","5612","2012","8","2","Not specified","Closed","d3b1c42e-e272-4e53-8928-8c5d72d74984","Southeast","2012","2012-01-01 00:00:00","EU Sales Team"
"29","Stephen L. LaFrance Pharmacy Inc.","Stephen L. LaFrance Pharmacy Inc.","Prevalax","5 - Closed Won","11414","2014","2","15","Web","Closed","4f01f14b-2b7f-45df-9ea7-04e905169969","Southeast","2014","2014-04-01 00:00:00","EU Sales Team"
"30","Wyeth BioPharma","Wyeth BioPharma","Emoltra","5 - Closed Won","2954","2013","4","1","Not specified","Closed","d3b1c42e-e272-4e53-8928-8c5d72d74984","Northeast","2013","2013-01-01 00:00:00","US Sales Team"
"31","Jubilant HollisterStier LLC","Jubilant HollisterStier LLC","Accugel","5 - Closed Won","24403","2012","7","10","Tradeshow","Closed","557ac720-73d7-4d6d-93db-cd360d07069d","Northwest","2012","2012-10-01 00:00:00","EU Sales Team"
"32","Glenmark Generics Inc. USA","Glenmark Generics Inc. USA","Accugel","5 - Closed Won","20471","2015","8","22","Web","Closed","37db7974-7903-40ff-ac8e-33fbcb871af0","Southwest","2015","2015-01-01 00:00:00","EU Sales Team"
"33","Aptalis Pharma US Inc.","Aptalis Pharma US Inc.","Avenetro","5 - Closed Won","21460","2015","11","27","Web","Closed","843141eb-6b81-4f45-bd4b-dfadf6721b8e","Southeast","2015","2015-07-01 00:00:00","US Sales Team"
"34","American Health Packaging","American Health Packaging","Dentrex","5 - Closed Won","7533","2013","2","6","Business development","Closed","ba5dff93-e628-4522-8f49-10f05ca557a3","Northeast","2013","2013-10-01 00:00:00","US Sales Team"
"35","Uriel Pharmacy Inc.","Uriel Pharmacy Inc.","Accruex","5 - Closed Won","12329","2011","9","24","Tradeshow","Closed","9daee2f6-b70c-4c0d-a606-c7b5d5afec13","Northwest","2011","2011-10-01 00:00:00","EU Sales Team"
"36","Walgreens Co.","Walgreens Co.","Comfront","5 - Closed Won","7780","2015","8","14","Business development","Closed","37db7974-7903-40ff-ac8e-33fbcb871af0","Northwest","2015","2015-10-01 00:00:00","EU Sales Team"
"37","Uriel Pharmacy Inc.","Uriel Pharmacy Inc.","Acclimite","5 - Closed Won","17561","2012","1","16","Web","Closed","db0508ce-1877-4f4d-8a57-c6541e49a3c3","Southeast","2012","2012-07-01 00:00:00","EU Sales Team"
"38","Lupin Pharmaceuticals Inc.","Lupin Pharmaceuticals Inc.","Comfront","5 - Closed Won","418","2015","5","6","Business development","Closed","9fe15343-cb70-4c62-8056-e596a3d6e02b","Northwest","2015","2015-07-01 00:00:00","US Sales Team"
"39","Triax Pharmaceuticals LLC","Triax Pharmaceuticals LLC","Radantix","5 - Closed Won","23033","2011","3","9","Not specified","Closed","ac80e526-9e13-420e-85e4-f0d1aab61c9c","Southeast","2011","2011-10-01 00:00:00","US Sales Team"
"40","Aptalis Pharma US Inc.","Aptalis Pharma US Inc.","Prevalax","5 - Closed Won","3782","2011","11","26","Web","Closed","d3b1c42e-e272-4e53-8928-8c5d72d74984","Southeast","2011","2011-10-01 00:00:00","EU Sales Team"
"41","Watson Laboratories Inc.","Watson Laboratories Inc.","Accugel","5 - Closed Won","2703","2014","7","5","Business development","Closed","05a05a8f-117e-4705-9329-4dd818f8484a","Northwest","2014","2014-01-01 00:00:00","US Sales Team"
"42","Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC","Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC","Dentrex","5 - Closed Won","23190","2011","1","26","Not specified","Closed","4b137da4-5ff2-4797-a38a-b099d904e852","Southeast","2011","2011-07-01 00:00:00","EU Sales Team"
"43","Caraco Pharmaceutical Laboratories Ltd.","Caraco Pharmaceutical Laboratories Ltd.","Radantix","5 - Closed Won","14831","2011","2","6","Business development","Closed","843141eb-6b81-4f45-bd4b-dfadf6721b8e","Southwest","2011","2011-04-01 00:00:00","EU Sales Team"
"44","Jubilant HollisterStier LLC","Jubilant HollisterStier LLC","Dentrex","5 - Closed Won","2460","2013","12","2","Tradeshow","Closed","38a65e72-7a7f-454a-acbb-8658cecad9a9","Southwest","2013","2013-01-01 00:00:00","US Sales Team"
"45","Triax Pharmaceuticals LLC","Triax Pharmaceuticals LLC","3-DOM","5 - Closed Won","23949","2013","11","28","Business development","Closed","da47bc78-7486-42ec-91ba-77552a506aec","Southeast","2013","2013-04-01 00:00:00","US Sales Team"
"46","Lupin Pharmaceuticals Inc.","Lupin Pharmaceuticals Inc.","Memora","5 - Closed Won","11065","2012","10","18","Business development","Closed","843141eb-6b81-4f45-bd4b-dfadf6721b8e","Southwest","2012","2012-01-01 00:00:00","EU Sales Team"
"47","Indiana Botanic Gardens","Indiana Botanic Gardens","Memora","5 - Closed Won","7490","2015","7","8","Web","Closed","ba5dff93-e628-4522-8f49-10f05ca557a3","Northwest","2015","2015-01-01 00:00:00","EU Sales Team"
"48","Jubilant HollisterStier LLC","Jubilant HollisterStier LLC","Accugel","5 - Closed Won","18663","2015","8","22","Tradeshow","Closed","d3b1c42e-e272-4e53-8928-8c5d72d74984","Southwest","2015","2015-01-01 00:00:00","EU Sales Team"
"49","Personal Care Products","Personal Care Products","3-DOM","5 - Closed Won","22391","2011","9","22","Tradeshow","Closed","d3b1c42e-e272-4e53-8928-8c5d72d74984","Northwest","2011","2011-04-01 00:00:00","EU Sales Team"
"50","Nelco Laboratories Inc.","Nelco Laboratories Inc.","Accugel","5 - Closed Won","14492","2013","7","15","Business development","Closed","557ac720-73d7-4d6d-93db-cd360d07069d","Northeast","2013","2013-01-01 00:00:00","EU Sales Team"
"51","Walgreens Co.","Walgreens Co.","Emoltra","5 - Closed Won","16800","2015","12","1","Not specified","Closed","c8c9dc6f-cd43-4697-922e-4ee91977e1cc","Northwest","2015","2015-10-01 00:00:00","US Sales Team"
"52","Bryant Ranch Prepack","Bryant Ranch Prepack","Dentrex","5 - Closed Won","9972","2014","7","14","Not specified","Closed","9daee2f6-b70c-4c0d-a606-c7b5d5afec13","Southeast","2014","2014-04-01 00:00:00","US Sales Team"
"53","The Mentholatum Company","The Mentholatum Company","Manatea","5 - Closed Won","8828","2014","3","28","Not specified","Closed","db0508ce-1877-4f4d-8a57-c6541e49a3c3","Northeast","2014","2014-01-01 00:00:00","US Sales Team"
"54","AvKARE Inc.","AvKARE Inc.","Memora","5 - Closed Won","11068","2014","3","22","Web","Closed","da47bc78-7486-42ec-91ba-77552a506aec","Northeast","2014","2014-07-01 00:00:00","US Sales Team"
"55","Aptalis Pharma US Inc.","Aptalis Pharma US Inc.","Dentrex","5 - Closed Won","3512","2012","11","11","Web","Closed","161a008b-c441-47ee-8577-45585313ca1c","Northeast","2012","2012-10-01 00:00:00","EU Sales Team"
"56","Aptalis Pharma US Inc.","Aptalis Pharma US Inc.","Prevalax","5 - Closed Won","9590","2012","5","26","Business development","Closed","2d3569e8-9d67-4e24-878c-2ef86fa1ab5b","Northwest","2012","2012-07-01 00:00:00","US Sales Team"
"57","Tarte Inc","Tarte Inc","Accruex","5 - Closed Won","13199","2011","1","14","Business development","Closed","c26a4236-07cb-4308-aa16-6341360d339e","Northeast","2011","2011-07-01 00:00:00","US Sales Team"
"58","Teva Pharmaceuticals USA Inc","Teva Pharmaceuticals USA Inc","Manatea","5 - Closed Won","19791","2013","4","1","Business development","Closed","05c4eda6-31c2-424b-8189-5844f93de91a","Northeast","2013","2013-04-01 00:00:00","US Sales Team"
"59","The Mentholatum Company","The Mentholatum Company","Emoltra","5 - Closed Won","6987","2012","5","25","Web","Closed","38a65e72-7a7f-454a-acbb-8658cecad9a9","Northwest","2012","2012-01-01 00:00:00","US Sales Team"
"60","The Mentholatum Company","The Mentholatum Company","Memora","5 - Closed Won","24461","2015","7","17","Business development","Closed","37db7974-7903-40ff-ac8e-33fbcb871af0","Northeast","2015","2015-04-01 00:00:00","US Sales Team"
"61","Aptalis Pharma US Inc.","Aptalis Pharma US Inc.","Zillia","5 - Closed Won","9527","2012","12","21","Tradeshow","Closed","4b137da4-5ff2-4797-a38a-b099d904e852","Southeast","2012","2012-10-01 00:00:00","EU Sales Team"
"62","Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC","Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC","Avenetro","5 - Closed Won","5400","2014","9","19","Business development","Closed","94422cbe-1ec9-4067-be7f-18ef190f4e3e","Northeast","2014","2014-10-01 00:00:00","EU Sales Team"
"63","Indiana Botanic Gardens","Indiana Botanic Gardens","Accugel","5 - Closed Won","10253","2014","9","15","Tradeshow","Closed","43f5cc3c-fb28-410a-9a99-bed935c40afd","Northeast","2014","2014-07-01 00:00:00","US Sales Team"
"64","Caraco Pharmaceutical Laboratories Ltd.","Caraco Pharmaceutical Laboratories Ltd.","Emoltra","5 - Closed Won","10333","2015","6","28","Web","Closed","161a008b-c441-47ee-8577-45585313ca1c","Southeast","2015","2015-10-01 00:00:00","US Sales Team"
"65","Jubilant HollisterStier LLC","Jubilant HollisterStier LLC","Dentrex","5 - Closed Won","16975","2011","11","15","Business development","Closed","9fe15343-cb70-4c62-8056-e596a3d6e02b","Northwest","2011","2011-04-01 00:00:00","US Sales Team"
"66","RxPak Division of McKesson Corporation","RxPak Division of McKesson Corporation","Acclimite","5 - Closed Won","10192","2013","9","16","Business development","Closed","d8d7c4f4-ed64-4f4e-bd6b-b4cdb04b7218","Northeast","2013","2013-07-01 00:00:00","EU Sales Team"
"67","Uriel Pharmacy Inc.","Uriel Pharmacy Inc.","Comfront","5 - Closed Won","10124","2013","6","2","Business development","Closed","05a05a8f-117e-4705-9329-4dd818f8484a","Southeast","2013","2013-01-01 00:00:00","US Sales Team"
"68","RxPak Division of McKesson Corporation","RxPak Division of McKesson Corporation","Acclimite","5 - Closed Won","24037","2012","6","11","Tradeshow","Closed","9fe15343-cb70-4c62-8056-e596a3d6e02b","Southeast","2012","2012-01-01 00:00:00","EU Sales Team"
"69","Mylan Pharmaceuticals Inc.","Mylan Pharmaceuticals Inc.","Accruex","5 - Closed Won","11628","2011","12","1","Web","Closed","c8c9dc6f-cd43-4697-922e-4ee91977e1cc","Northwest","2011","2011-01-01 00:00:00","US Sales Team"
"70","Uriel Pharmacy Inc.","Uriel Pharmacy Inc.","Memora","5 - Closed Won","23688","2014","12","27","Tradeshow","Closed","da47bc78-7486-42ec-91ba-77552a506aec","Northeast","2014","2014-07-01 00:00:00","EU Sales Team"
"71","Glenmark Generics Inc. USA","Glenmark Generics Inc. USA","Comfront","5 - Closed Won","5745","2013","7","15","Tradeshow","Closed","c26a4236-07cb-4308-aa16-6341360d339e","Southeast","2013","2013-04-01 00:00:00","US Sales Team"
"72","Safeway","Safeway","Zillia","5 - Closed Won","14073","2012","8","17","Tradeshow","Closed","bec9ee79-11c9-4351-8416-01ad8b8ab4bf","Southwest","2012","2012-01-01 00:00:00","EU Sales Team"
"73","Caraco Pharmaceutical Laboratories Ltd.","Caraco Pharmaceutical Laboratories Ltd.","Emoltra","5 - Closed Won","1468","2014","6","5","Tradeshow","Closed","ba5dff93-e628-4522-8f49-10f05ca557a3","Southeast","2014","2014-01-01 00:00:00","EU Sales Team"
"74","Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC","Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC","Prevalax","5 - Closed Won","7899","2012","9","9","Tradeshow","Closed","840ae18e-8f2f-48c0-a8e1-48f4d13b7dd6","Northwest","2012","2012-04-01 00:00:00","EU Sales Team"
"75","RxPak Division of McKesson Corporation","RxPak Division of McKesson Corporation","Avenetro","5 - Closed Won","14949","2011","11","18","Not specified","Closed","4b137da4-5ff2-4797-a38a-b099d904e852","Northwest","2011","2011-07-01 00:00:00","US Sales Team"
"76","Chromate Industrial Corporation","Chromate Industrial Corporation","Accugel","5 - Closed Won","9673","2013","2","18","Tradeshow","Closed","ac80e526-9e13-420e-85e4-f0d1aab61c9c","Northwest","2013","2013-04-01 00:00:00","US Sales Team"
"77","Apotheca Company","Apotheca Company","Manatea","5 - Closed Won","7990","2015","12","4","Not specified","Closed","ac80e526-9e13-420e-85e4-f0d1aab61c9c","Southwest","2015","2015-07-01 00:00:00","US Sales Team"
"78","AvKARE Inc.","AvKARE Inc.","Comfront","5 - Closed Won","1698","2014","9","5","Business development","Closed","94422cbe-1ec9-4067-be7f-18ef190f4e3e","Southwest","2014","2014-10-01 00:00:00","EU Sales Team"
"79","Tarte Inc","Tarte Inc","Comfront","5 - Closed Won","10020","2013","12","15","Tradeshow","Closed","69233e00-dcdf-40d8-8605-5b1ae270f72b","Northwest","2013","2013-10-01 00:00:00","EU Sales Team"
"80","American Health Packaging","American Health Packaging","Zillia","5 - Closed Won","22660","2012","9","15","Tradeshow","Closed","db0508ce-1877-4f4d-8a57-c6541e49a3c3","Northwest","2012","2012-10-01 00:00:00","US Sales Team"
"81","Safeway","Safeway","Emoltra","5 - Closed Won","17667","2014","9","16","Business development","Closed","38a65e72-7a7f-454a-acbb-8658cecad9a9","Southeast","2014","2014-04-01 00:00:00","EU Sales Team"
"82","Glenmark Generics Inc. USA","Glenmark Generics Inc. USA","Acclimite","5 - Closed Won","18484","2012","3","3","Not specified","Closed","f2fb41d7-981a-42d0-94df-549356c4a339","Northeast","2012","2012-01-01 00:00:00","US Sales Team"
"83","Lupin Pharmaceuticals Inc.","Lupin Pharmaceuticals Inc.","Prevalax","5 - Closed Won","21992","2012","12","2","Tradeshow","Closed","843141eb-6b81-4f45-bd4b-dfadf6721b8e","Northeast","2012","2012-04-01 00:00:00","EU Sales Team"
"84","Watson Laboratories Inc.","Watson Laboratories Inc.","Emoltra","5 - Closed Won","18287","2012","11","1","Business development","Closed","caba0fbe-e5ef-4b34-9174-29cc5351b49d","Northeast","2012","2012-01-01 00:00:00","US Sales Team"
"85","Warner Chilcott (US) LLC","Warner Chilcott (US) LLC","Comfront","5 - Closed Won","22368","2011","8","9","Web","Closed","f2fb41d7-981a-42d0-94df-549356c4a339","Southwest","2011","2011-10-01 00:00:00","US Sales Team"
"86","Chromate Industrial Corporation","Chromate Industrial Corporation","Accruex","5 - Closed Won","19325","2013","5","13","Not specified","Closed","88ab35a3-0ee7-481f-8148-b2962ae39d3b","Northeast","2013","2013-04-01 00:00:00","EU Sales Team"
"87","Vini Health & Beauty Inc","Vini Health & Beauty Inc","Accruex","5 - Closed Won","6765","2011","9","18","Web","Closed","d8d7c4f4-ed64-4f4e-bd6b-b4cdb04b7218","Northwest","2011","2011-10-01 00:00:00","EU Sales Team"
"88","American Health Packaging","American Health Packaging","3-DOM","5 - Closed Won","22720","2012","10","21","Web","Closed","c8c9dc6f-cd43-4697-922e-4ee91977e1cc","Northeast","2012","2012-01-01 00:00:00","US Sales Team"
"89","Aptalis Pharma US Inc.","Aptalis Pharma US Inc.","Accruex","5 - Closed Won","23247","2012","4","1","Not specified","Closed","f2fb41d7-981a-42d0-94df-549356c4a339","Southeast","2012","2012-01-01 00:00:00","US Sales Team"
"90","Walgreens Co.","Walgreens Co.","Zillia","5 - Closed Won","22826","2013","2","5","Business development","Closed","b2d76d74-0faf-4913-9f85-9cdec5ced617","Northwest","2013","2013-01-01 00:00:00","EU Sales Team"
"91","Triax Pharmaceuticals LLC","Triax Pharmaceuticals LLC","Dentrex","5 - Closed Won","23878","2011","8","19","Tradeshow","Closed","43f5cc3c-fb28-410a-9a99-bed935c40afd","Southwest","2011","2011-04-01 00:00:00","US Sales Team"
"92","The Mentholatum Company","The Mentholatum Company","Emoltra","5 - Closed Won","8640","2013","12","23","Not specified","Closed","2229217d-2ed3-4035-b2e7-a3bef64f73ec","Southeast","2013","2013-10-01 00:00:00","US Sales Team"
"93","Watson Laboratories Inc.","Watson Laboratories Inc.","Dentrex","5 - Closed Won","4395","2012","5","11","Not specified","Closed","093c020a-4551-467e-95e9-b258927674e9","Northwest","2012","2012-01-01 00:00:00","EU Sales Team"
"94","Apotheca Company","Apotheca Company","Dentrex","5 - Closed Won","11843","2012","4","15","Web","Closed","f2fb41d7-981a-42d0-94df-549356c4a339","Northwest","2012","2012-07-01 00:00:00","US Sales Team"
"95","Walgreens Co.","Walgreens Co.","Acclimite","5 - Closed Won","2001","2015","9","13","Not specified","Closed","b3330862-932e-490e-9c53-9d2fc36d8823","Southeast","2015","2015-07-01 00:00:00","EU Sales Team"
"96","Wyeth BioPharma","Wyeth BioPharma","Prevalax","5 - Closed Won","15987","2012","9","25","Web","Closed","37db7974-7903-40ff-ac8e-33fbcb871af0","Northeast","2012","2012-04-01 00:00:00","US Sales Team"
"97","American Health Packaging","American Health Packaging","Manatea","5 - Closed Won","20745","2014","11","21","Business development","Closed","05c4eda6-31c2-424b-8189-5844f93de91a","Southeast","2014","2014-10-01 00:00:00","US Sales Team"
"98","Jubilant HollisterStier LLC","Jubilant HollisterStier LLC","Emoltra","5 - Closed Won","13652","2012","6","8","Tradeshow","Closed","c6f1d732-f34e-4fcc-9340-839d300c146a","Northwest","2012","2012-04-01 00:00:00","US Sales Team"
"99","Lupin Pharmaceuticals Inc.","Lupin Pharmaceuticals Inc.","Accugel","5 - Closed Won","20662","2012","10","15","Not specified","Closed","05a05a8f-117e-4705-9329-4dd818f8484a","Northwest","2012","2012-01-01 00:00:00","EU Sales Team"
"100","Indiana Botanic Gardens","Indiana Botanic Gardens","Accruex","5 - Closed Won","19182","2014","2","13","Not specified","Closed","840ae18e-8f2f-48c0-a8e1-48f4d13b7dd6","Northeast","2014","2014-10-01 00:00:00","US Sales Team"
"101","Stephen L. LaFrance Pharmacy Inc.","Stephen L. LaFrance Pharmacy Inc.","Manatea","5 - Closed Won","18195","2013","1","6","Tradeshow","Closed","80ba1440-a075-43df-9f05-b71eb224c1e3","Southwest","2013","2013-10-01 00:00:00","EU Sales Team"
"102","Uriel Pharmacy Inc.","Uriel Pharmacy Inc.","Accugel","5 - Closed Won","19708","2013","10","13","Not specified","Closed","9daee2f6-b70c-4c0d-a606-c7b5d5afec13","Southwest","2013","2013-01-01 00:00:00","US Sales Team"
"103","Bryant Ranch Prepack","Bryant Ranch Prepack","3-DOM","5 - Closed Won","6100","2015","12","22","Web","Closed","4b137da4-5ff2-4797-a38a-b099d904e852","Northeast","2015","2015-10-01 00:00:00","US Sales Team"
"104","Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC","Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC","Accruex","5 - Closed Won","11350","2014","2","8","Not specified","Closed","b3330862-932e-490e-9c53-9d2fc36d8823","Northwest","2014","2014-04-01 00:00:00","US Sales Team"
"105","Personal Care Products","Personal Care Products","Acclimite","5 - Closed Won","3198","2012","9","9","Not specified","Closed","05c4eda6-31c2-424b-8189-5844f93de91a","Northeast","2012","2012-10-01 00:00:00","EU Sales Team"
"106","Mylan Pharmaceuticals Inc.","Mylan Pharmaceuticals Inc.","Accugel","5 - Closed Won","3710","2011","8","13","Tradeshow","Closed","caba0fbe-e5ef-4b34-9174-29cc5351b49d","Southwest","2011","2011-01-01 00:00:00","US Sales Team"
"107","Mylan Pharmaceuticals Inc.","Mylan Pharmaceuticals Inc.","Prevalax","5 - Closed Won","13148","2014","1","5","Web","Closed","2d3569e8-9d67-4e24-878c-2ef86fa1ab5b","Northwest","2014","2014-01-01 00:00:00","US Sales Team"
"108","Wyeth BioPharma","Wyeth BioPharma","Accruex","5 - Closed Won","8733","2011","12","23","Tradeshow","Closed","4b137da4-5ff2-4797-a38a-b099d904e852","Northeast","2011","2011-04-01 00:00:00","US Sales Team"
"109","Stephen L. LaFrance Pharmacy Inc.","Stephen L. LaFrance Pharmacy Inc.","3-DOM","5 - Closed Won","5681","2014","1","19","Not specified","Closed","da47bc78-7486-42ec-91ba-77552a506aec","Southeast","2014","2014-07-01 00:00:00","EU Sales Team"
"110","Tarte Inc","Tarte Inc","Dentrex","5 - Closed Won","13641","2013","1","9","Not specified","Closed","557ac720-73d7-4d6d-93db-cd360d07069d","Southwest","2013","2013-10-01 00:00:00","US Sales Team"
"111","Bryant Ranch Prepack","Bryant Ranch Prepack","Manatea","5 - Closed Won","24167","2013","11","23","Tradeshow","Closed","ac80e526-9e13-420e-85e4-f0d1aab61c9c","Southeast","2013","2013-10-01 00:00:00","EU Sales Team"
"112","Lupin Pharmaceuticals Inc.","Lupin Pharmaceuticals Inc.","Prevalax","5 - Closed Won","17443","2012","1","25","Not specified","Closed","ba5dff93-e628-4522-8f49-10f05ca557a3","Northwest","2012","2012-10-01 00:00:00","EU Sales Team"
